latitud,longitud,barrio,cantidad_entregas,segmento
-34.609342,-58.412825,BALVANERA,2,baja
-34.786565,-58.152055,,6,media
-34.46405,-58.76069,,4,baja
-34.598733,-58.373635,SAN NICOLAS,1,baja
-34.610302,-58.427572,ALMAGRO,2,baja
-34.470967,-58.517174,,2,baja
-34.601124,-58.417527,ALMAGRO,1,baja
-34.697474,-58.302954,,1,baja
-34.566279,-58.460268,BELGRANO,2,baja
-34.583968,-58.415714,PALERMO,2,baja
-34.644939,-58.471976,PARQUE AVELLANEDA,1,baja
-34.712604,-58.327434,,19,alta
-34.641016,-58.614704,,2,baja
-34.4498,-58.61337,,2,baja
-34.496786,-58.656894,,2,baja
-34.603536,-58.507772,VILLA DEVOTO,1,baja
-34.766722,-58.232092,,1,baja
-34.56604,-58.52946,,1,baja
-34.741784,-58.41595,,2,baja
-34.727131,-58.526129,,2,baja
-34.655138,-58.543692,,2,baja
-34.659267,-58.350171,,1,baja
-34.483107,-58.547979,,2,baja
-34.664792,-58.581018,,3,baja
-34.701675,-58.381416,,1,baja
-34.53475,-58.511449,,18,alta
-34.620379,-58.505001,MONTE CASTRO,2,baja
-34.743536,-58.618539,,1,baja
-34.58634,-58.397877,RECOLETA,1,baja
-34.648089,-58.792747,,2,baja
-34.602654,-58.428018,ALMAGRO,6,media
-34.608403,-58.558734,,2,baja
-34.631666,-58.417371,BOEDO,2,baja
-34.582051,-58.607549,,17,alta
-34.669688,-58.506116,MATADEROS,2,baja
-34.570858,-58.505904,VILLA URQUIZA,3,baja
-34.71683,-58.3226,,3,baja
-34.764797,-58.343749,,2,baja
-34.716365,-58.305242,,4,baja
-34.567256,-58.530223,,2,baja
-34.513238,-58.489041,,19,alta
-34.65739,-58.57083,,2,baja
-34.611576,-58.441102,CABALLITO,2,baja
-34.705778,-58.545673,,3,baja
-34.662589,-58.732076,,1,baja
-34.618753,-58.464619,FLORES,3,baja
-34.616018,-58.362668,PUERTO MADERO,3,baja
-34.723139,-58.424209,,2,baja
-34.46516,-58.91152,,2,baja
-34.590307,-58.512809,VILLA DEVOTO,3,baja
-34.6329,-58.4497,PARQUE CHACABUCO,2,baja
-34.613621,-58.542599,,4,baja
-34.600241,-58.422099,ALMAGRO,4,baja
-34.609916,-58.503571,VILLA DEVOTO,2,baja
-34.56972,-58.43599,PALERMO,2,baja
-34.580681,-58.595762,,1,baja
-34.593138,-58.396337,RECOLETA,2,baja
-34.735994,-58.320268,,3,baja
-34.649958,-58.375475,BARRACAS,1,baja
-34.57984,-58.48452,VILLA URQUIZA,1,baja
-34.636038,-58.476412,FLORESTA,3,baja
-34.608753,-58.397855,BALVANERA,3,baja
-34.646856,-58.502944,MATADEROS,1,baja
-34.60039,-58.43858,VILLA CRESPO,2,baja
-34.556325,-58.482702,SAAVEDRA,2,baja
-34.620478,-58.458521,FLORES,1,baja
-34.631786,-58.550298,,1,baja
-34.602222,-58.461255,PATERNAL,2,baja
-34.587393,-58.503048,VILLA PUEYRREDON,1,baja
-34.668079,-58.615251,,2,baja
-34.620967,-58.627573,,2,baja
-34.711337,-58.38089,,1,baja
-34.568875,-58.453344,COLEGIALES,3,baja
-34.643224,-58.439051,PARQUE CHACABUCO,3,baja
-34.593044,-58.422616,PALERMO,1,baja
-34.804078,-58.468252,,1,baja
-34.654413,-58.524367,LINIERS,2,baja
-34.565377,-58.464645,BELGRANO,11,alta
-34.593281,-58.455366,CHACARITA,1,baja
-34.766002,-58.18939,,1,baja
-34.617274,-58.427122,ALMAGRO,2,baja
-34.595649,-58.37834,RETIRO,3,baja
-34.666173,-58.480285,VILLA LUGANO,2,baja
-34.841159,-58.525716,,1,baja
-34.68456,-58.51983,,1,baja
-34.707524,-58.608664,,1,baja
-34.602081,-58.520791,VILLA DEVOTO,2,baja
-34.822269,-58.256526,,1,baja
-34.608924,-58.448482,CABALLITO,2,baja
-34.49743,-58.571592,,6,media
-34.456757,-58.781123,,15,alta
-34.539598,-58.475841,SAAVEDRA,1,baja
-34.692907,-58.378915,,10,alta
-34.563395,-58.491846,VILLA URQUIZA,2,baja
-34.636242,-58.388683,BARRACAS,1,baja
-34.57657,-58.406689,PALERMO,1,baja
-34.636414,-58.391232,PARQUE PATRICIOS,2,baja
-34.625369,-58.561431,,2,baja
-34.5323,-58.53318,,4,baja
-34.60714,-58.416377,ALMAGRO,1,baja
-34.668099,-58.36219,,1,baja
-34.748888,-58.486753,,1,baja
-34.784429,-58.40855,,9,media
-34.526818,-58.534498,,2,baja
-34.584637,-58.405406,RECOLETA,2,baja
-34.63514,-58.582619,,2,baja
-34.59773,-58.41767,PALERMO,2,baja
-34.723868,-58.24455,,1,baja
-34.872138,-58.382145,,1,baja
-34.620574,-58.496082,FLORESTA,4,baja
-34.582388,-58.434112,PALERMO,3,baja
-34.515077,-58.553168,,2,baja
-34.648076,-58.539521,,4,baja
-34.537981,-58.709788,,1,baja
-34.618698,-58.445507,CABALLITO,21,alta
-34.739371,-58.344898,,3,baja
-34.595832,-58.666411,,3,baja
-34.538223,-58.485771,,1,baja
-34.593529,-58.395311,RECOLETA,2,baja
-34.568821,-58.539238,,9,media
-34.592416,-58.38497,RETIRO,1,baja
-34.796101,-58.380726,,4,baja
-34.558325,-58.44572,BELGRANO,1,baja
-34.576816,-58.640143,,1,baja
-34.616125,-58.47453,VILLA SANTA RITA,2,baja
-34.665012,-58.49765,MATADEROS,3,baja
-34.627442,-58.411764,SAN CRISTOBAL,7,media
-34.618355,-58.481562,VILLA SANTA RITA,1,baja
-34.630577,-58.508739,VILLA LURO,1,baja
-34.753869,-58.225289,,1,baja
-34.600007,-58.450952,VILLA CRESPO,2,baja
-34.573317,-58.493483,VILLA URQUIZA,2,baja
-34.659411,-58.580706,,9,media
-34.360653,-58.72993,,2,baja
-34.619734,-58.59213,,2,baja
-34.469477,-58.735554,,2,baja
-34.66029,-58.65402,,2,baja
-34.861815,-57.897649,,9,media
-34.369075,-58.766789,,1,baja
-34.604545,-58.414612,ALMAGRO,2,baja
-34.52312,-58.544737,,5,media
-34.684931,-58.391573,,2,baja
